,SQ00015145,SQ00015143,SQ00015201,SQ00015142,SQ00015144
Cells_Correlation_Correlation_DNA_AGP,1,1,1,1,1
Cells_Correlation_Correlation_DNA_ER,0,0,0,0,0
Cells_Correlation_Correlation_DNA_Mito,0,0,0,0,0
Cells_Correlation_Correlation_DNA_RNA,1,1,1,1,1
Cells_Correlation_Correlation_ER_AGP,1,1,1,1,1
Cells_Correlation_Correlation_ER_RNA,1,1,1,1,1
Cells_Correlation_Correlation_Mito_AGP,0,0,0,0,0
Cells_Correlation_Correlation_Mito_ER,0,0,0,0,0
Cells_Correlation_Correlation_Mito_RNA,1,1,0,1,1
Cells_Correlation_Correlation_RNA_AGP,1,0,0,0,1
Cells_Correlation_Costes_AGP_DNA,0,0,0,0,0
Cells_Correlation_Costes_AGP_ER,0,0,0,0,0
Cells_Correlation_Costes_AGP_Mito,0,0,0,0,0
Cells_Correlation_Costes_AGP_RNA,0,0,0,0,0
Cells_Correlation_Costes_DNA_AGP,0,0,0,0,0
Cells_Correlation_Costes_DNA_ER,0,0,0,0,0
Cells_Correlation_Costes_DNA_Mito,0,0,0,0,0
Cells_Correlation_Costes_DNA_RNA,0,0,0,0,0
Cells_Correlation_Costes_ER_AGP,0,0,0,0,0
Cells_Correlation_Costes_ER_DNA,0,0,0,0,0
Cells_Correlation_Costes_ER_Mito,0,0,0,0,0
Cells_Correlation_Costes_ER_RNA,0,0,0,0,0
Cells_Correlation_Costes_Mito_AGP,0,0,0,0,0
Cells_Correlation_Costes_Mito_DNA,0,0,0,0,0
Cells_Correlation_Costes_Mito_ER,0,0,0,0,0
Cells_Correlation_Costes_Mito_RNA,0,0,0,0,0
Cells_Correlation_Costes_RNA_AGP,0,0,0,0,0
Cells_Correlation_Costes_RNA_DNA,0,0,0,0,0
Cells_Correlation_Costes_RNA_ER,0,0,0,0,0
Cells_Correlation_Costes_RNA_Mito,0,0,0,0,0
Cells_Correlation_K_AGP_DNA,0,1,0,0,0
Cells_Correlation_K_AGP_ER,0,0,0,0,0
Cells_Correlation_K_AGP_Mito,0,0,0,0,0
Cells_Correlation_K_AGP_RNA,1,1,0,1,0
Cells_Correlation_K_DNA_AGP,0,0,0,0,0
Cells_Correlation_K_DNA_ER,0,0,0,0,0
Cells_Correlation_K_DNA_Mito,0,0,0,0,0
Cells_Correlation_K_DNA_RNA,0,0,0,0,0
Cells_Correlation_K_ER_AGP,0,0,0,0,0
Cells_Correlation_K_ER_DNA,0,0,0,0,0
Cells_Correlation_K_ER_Mito,0,0,0,0,0
Cells_Correlation_K_ER_RNA,1,1,1,1,1
Cells_Correlation_K_Mito_AGP,0,0,0,0,0
Cells_Correlation_K_Mito_DNA,0,0,0,0,0
Cells_Correlation_K_Mito_ER,0,0,0,0,0
Cells_Correlation_K_Mito_RNA,0,0,0,0,0
Cells_Correlation_K_RNA_AGP,0,0,0,0,0
Cells_Correlation_K_RNA_DNA,0,0,0,0,1
Cells_Correlation_K_RNA_ER,1,1,1,1,1
Cells_Correlation_K_RNA_Mito,0,0,0,0,0
Cells_Correlation_Manders_AGP_DNA,1,1,0,1,1
Cells_Correlation_Manders_AGP_ER,0,0,0,0,0
Cells_Correlation_Manders_AGP_Mito,0,0,0,0,0
Cells_Correlation_Manders_AGP_RNA,0,0,0,0,0
Cells_Correlation_Manders_DNA_AGP,0,0,0,0,0
Cells_Correlation_Manders_DNA_ER,0,0,0,0,0
Cells_Correlation_Manders_DNA_Mito,0,0,0,0,0
Cells_Correlation_Manders_DNA_RNA,0,0,0,0,0
Cells_Correlation_Manders_ER_AGP,0,0,0,0,0
Cells_Correlation_Manders_ER_DNA,1,1,0,0,1
Cells_Correlation_Manders_ER_Mito,0,0,0,0,0
Cells_Correlation_Manders_ER_RNA,0,0,0,0,0
Cells_Correlation_Manders_Mito_AGP,0,0,0,0,0
Cells_Correlation_Manders_Mito_DNA,0,0,0,0,0
Cells_Correlation_Manders_Mito_ER,0,0,0,0,0
Cells_Correlation_Manders_Mito_RNA,0,0,0,0,0
Cells_Correlation_Manders_RNA_AGP,0,0,0,0,0
Cells_Correlation_Manders_RNA_DNA,0,0,0,0,0
Cells_Correlation_Manders_RNA_ER,0,0,0,0,0
Cells_Correlation_Manders_RNA_Mito,0,0,0,0,0
Cells_Correlation_Overlap_DNA_AGP,0,0,0,0,0
Cells_Correlation_Overlap_DNA_ER,0,0,0,0,0
Cells_Correlation_Overlap_DNA_Mito,0,0,0,0,0
Cells_Correlation_Overlap_DNA_RNA,0,0,0,0,0
Cells_Correlation_Overlap_ER_AGP,0,0,0,0,0
Cells_Correlation_Overlap_ER_RNA,0,0,0,0,0
Cells_Correlation_Overlap_Mito_AGP,0,0,0,0,0
Cells_Correlation_Overlap_Mito_ER,0,0,0,0,0
Cells_Correlation_Overlap_Mito_RNA,0,0,0,0,0
Cells_Correlation_Overlap_RNA_AGP,0,0,0,0,0
Cells_Correlation_RWC_AGP_DNA,0,0,0,0,0
Cells_Correlation_RWC_AGP_ER,0,0,0,0,0
Cells_Correlation_RWC_AGP_Mito,0,0,0,0,0
Cells_Correlation_RWC_AGP_RNA,1,0,0,0,0
Cells_Correlation_RWC_DNA_AGP,0,0,1,0,0
Cells_Correlation_RWC_DNA_ER,1,1,1,1,1
Cells_Correlation_RWC_DNA_Mito,0,0,0,0,0
Cells_Correlation_RWC_DNA_RNA,1,1,1,1,1
Cells_Correlation_RWC_ER_AGP,0,0,0,0,0
Cells_Correlation_RWC_ER_DNA,0,0,0,0,0
Cells_Correlation_RWC_ER_Mito,0,0,0,0,0
Cells_Correlation_RWC_ER_RNA,0,0,0,0,0
Cells_Correlation_RWC_Mito_AGP,0,0,0,0,0
Cells_Correlation_RWC_Mito_DNA,0,0,0,0,0
Cells_Correlation_RWC_Mito_ER,0,0,0,0,0
Cells_Correlation_RWC_Mito_RNA,1,1,0,1,1
Cells_Correlation_RWC_RNA_AGP,0,0,0,0,0
Cells_Correlation_RWC_RNA_DNA,0,0,0,0,0
Cells_Correlation_RWC_RNA_ER,0,0,0,0,0
Cells_Correlation_RWC_RNA_Mito,0,0,0,0,0
Cells_Granularity_10_AGP,0,0,0,0,0
Cells_Granularity_10_ER,0,0,0,0,0
Cells_Granularity_10_Mito,0,0,0,0,0
Cells_Granularity_10_RNA,0,0,0,0,0
Cells_Granularity_11_AGP,0,0,0,0,0
Cells_Granularity_11_ER,0,0,0,0,0
Cells_Granularity_11_Mito,0,0,0,0,0
Cells_Granularity_11_RNA,0,0,0,0,0
Cells_Granularity_12_AGP,0,0,0,0,0
Cells_Granularity_12_ER,0,0,0,0,0
Cells_Granularity_12_Mito,0,0,0,0,0
Cells_Granularity_12_RNA,0,0,0,0,0
Cells_Granularity_13_AGP,0,0,0,0,0
Cells_Granularity_13_ER,0,0,0,0,0
Cells_Granularity_13_Mito,0,0,0,0,0
Cells_Granularity_13_RNA,0,0,0,0,0
Cells_Granularity_14_AGP,0,0,0,0,0
Cells_Granularity_14_ER,0,0,0,0,0
Cells_Granularity_14_Mito,0,0,0,0,0
Cells_Granularity_14_RNA,0,0,0,0,0
Cells_Granularity_15_AGP,0,0,0,0,0
Cells_Granularity_15_ER,0,0,0,0,0
Cells_Granularity_15_Mito,0,0,0,0,0
Cells_Granularity_15_RNA,0,0,0,0,0
Cells_Granularity_16_AGP,0,0,0,0,0
Cells_Granularity_16_ER,0,0,0,0,0
Cells_Granularity_16_Mito,0,0,0,0,0
Cells_Granularity_16_RNA,0,0,0,0,0
Cells_Granularity_1_AGP,0,0,0,0,0
Cells_Granularity_1_ER,0,0,0,0,0
Cells_Granularity_1_Mito,0,0,0,0,0
Cells_Granularity_1_RNA,0,0,0,0,0
Cells_Granularity_2_AGP,0,0,0,0,0
Cells_Granularity_2_ER,0,0,0,0,0
Cells_Granularity_2_Mito,0,0,0,0,0
Cells_Granularity_2_RNA,0,0,0,0,0
Cells_Granularity_3_AGP,0,0,0,0,0
Cells_Granularity_3_ER,0,0,0,0,0
Cells_Granularity_3_Mito,0,0,0,0,0
Cells_Granularity_3_RNA,0,0,0,0,0
Cells_Granularity_4_AGP,0,0,0,0,0
Cells_Granularity_4_ER,0,0,0,0,0
Cells_Granularity_4_Mito,0,0,0,0,0
Cells_Granularity_4_RNA,0,0,0,0,0
Cells_Granularity_5_AGP,0,0,0,0,0
Cells_Granularity_5_ER,0,0,0,0,0
Cells_Granularity_5_Mito,0,0,0,0,0
Cells_Granularity_5_RNA,0,0,0,0,0
Cells_Granularity_6_AGP,0,0,0,0,0
Cells_Granularity_6_ER,0,0,0,0,0
Cells_Granularity_6_Mito,0,0,0,0,0
Cells_Granularity_6_RNA,0,0,0,0,0
Cells_Granularity_7_AGP,0,0,0,0,0
Cells_Granularity_7_ER,0,0,0,0,0
Cells_Granularity_7_Mito,0,0,0,0,0
Cells_Granularity_7_RNA,0,0,0,0,0
Cells_Granularity_8_AGP,0,0,0,0,0
Cells_Granularity_8_ER,0,0,0,0,0
Cells_Granularity_8_Mito,0,0,0,0,0
Cells_Granularity_8_RNA,0,0,0,0,0
Cells_Granularity_9_AGP,0,0,0,0,0
Cells_Granularity_9_ER,0,0,0,0,0
Cells_Granularity_9_Mito,0,0,0,0,0
Cells_Granularity_9_RNA,0,0,0,0,0
Cells_Intensity_IntegratedIntensityEdge_AGP,0,0,0,0,0
Cells_Intensity_IntegratedIntensityEdge_DNA,0,0,0,0,0
Cells_Intensity_IntegratedIntensityEdge_ER,0,0,0,0,0
Cells_Intensity_IntegratedIntensityEdge_Mito,0,0,0,0,0
Cells_Intensity_IntegratedIntensityEdge_RNA,0,0,0,0,0
Cells_Intensity_IntegratedIntensity_AGP,0,0,0,0,0
Cells_Intensity_IntegratedIntensity_DNA,0,0,0,0,0
Cells_Intensity_IntegratedIntensity_ER,0,0,0,0,0
Cells_Intensity_IntegratedIntensity_Mito,0,0,0,0,0
Cells_Intensity_IntegratedIntensity_RNA,0,0,0,0,0
Cells_Intensity_LowerQuartileIntensity_AGP,0,0,0,0,0
Cells_Intensity_LowerQuartileIntensity_DNA,0,0,0,0,0
Cells_Intensity_LowerQuartileIntensity_ER,0,0,0,0,0
Cells_Intensity_LowerQuartileIntensity_Mito,0,0,0,0,0
Cells_Intensity_LowerQuartileIntensity_RNA,0,0,0,0,0
Cells_Intensity_MADIntensity_AGP,0,0,0,0,0
Cells_Intensity_MADIntensity_DNA,0,1,0,1,0
Cells_Intensity_MADIntensity_ER,0,0,0,0,0
Cells_Intensity_MADIntensity_Mito,0,0,0,0,0
Cells_Intensity_MADIntensity_RNA,0,1,1,1,0
Cells_Intensity_MassDisplacement_AGP,1,1,1,0,1
Cells_Intensity_MassDisplacement_DNA,1,1,1,1,0
Cells_Intensity_MassDisplacement_ER,0,0,0,0,0
Cells_Intensity_MassDisplacement_Mito,0,0,0,0,0
Cells_Intensity_MassDisplacement_RNA,0,0,0,0,0
Cells_Intensity_MaxIntensityEdge_AGP,1,0,0,0,0
Cells_Intensity_MaxIntensityEdge_DNA,0,0,0,0,0
Cells_Intensity_MaxIntensityEdge_ER,0,0,0,0,0
Cells_Intensity_MaxIntensityEdge_Mito,0,0,0,0,0
Cells_Intensity_MaxIntensityEdge_RNA,0,0,0,0,0
Cells_Intensity_MaxIntensity_AGP,0,0,0,0,0
Cells_Intensity_MaxIntensity_DNA,0,0,0,0,0
Cells_Intensity_MaxIntensity_ER,0,0,0,0,0
Cells_Intensity_MaxIntensity_Mito,0,0,0,0,0
Cells_Intensity_MaxIntensity_RNA,1,1,0,1,1
Cells_Intensity_MeanIntensityEdge_AGP,0,0,0,0,0
Cells_Intensity_MeanIntensityEdge_DNA,0,0,0,0,0
Cells_Intensity_MeanIntensityEdge_ER,0,0,0,0,0
Cells_Intensity_MeanIntensityEdge_Mito,0,0,0,0,0
Cells_Intensity_MeanIntensityEdge_RNA,0,0,0,0,0
Cells_Intensity_MeanIntensity_AGP,0,0,0,0,0
Cells_Intensity_MeanIntensity_DNA,0,0,0,0,0
Cells_Intensity_MeanIntensity_ER,0,0,0,0,0
Cells_Intensity_MeanIntensity_Mito,0,0,0,0,0
Cells_Intensity_MeanIntensity_RNA,0,0,0,0,0
Cells_Intensity_MedianIntensity_AGP,0,0,0,0,0
Cells_Intensity_MedianIntensity_DNA,0,0,0,0,0
Cells_Intensity_MedianIntensity_ER,0,0,0,0,0
Cells_Intensity_MedianIntensity_Mito,0,0,0,0,0
Cells_Intensity_MedianIntensity_RNA,0,0,0,0,0
Cells_Intensity_MinIntensityEdge_AGP,0,0,0,0,0
Cells_Intensity_MinIntensityEdge_DNA,0,0,1,0,0
Cells_Intensity_MinIntensityEdge_ER,0,0,0,0,0
Cells_Intensity_MinIntensityEdge_Mito,0,0,0,0,0
Cells_Intensity_MinIntensityEdge_RNA,0,1,0,0,0
Cells_Intensity_MinIntensity_AGP,0,0,0,0,0
Cells_Intensity_MinIntensity_DNA,0,0,0,0,0
Cells_Intensity_MinIntensity_ER,0,0,0,0,0
Cells_Intensity_MinIntensity_Mito,0,0,0,0,0
Cells_Intensity_MinIntensity_RNA,0,0,0,0,0
Cells_Intensity_StdIntensityEdge_AGP,0,0,0,0,0
Cells_Intensity_StdIntensityEdge_DNA,0,0,0,0,0
Cells_Intensity_StdIntensityEdge_ER,0,0,0,0,0
Cells_Intensity_StdIntensityEdge_Mito,0,0,0,0,0
Cells_Intensity_StdIntensityEdge_RNA,0,0,0,0,0
Cells_Intensity_StdIntensity_AGP,0,0,0,1,0
Cells_Intensity_StdIntensity_DNA,0,0,0,0,0
Cells_Intensity_StdIntensity_ER,0,0,0,0,0
Cells_Intensity_StdIntensity_Mito,0,0,0,0,0
Cells_Intensity_StdIntensity_RNA,0,0,0,0,0
Cells_Intensity_UpperQuartileIntensity_AGP,0,0,0,0,0
Cells_Intensity_UpperQuartileIntensity_DNA,1,1,0,1,1
Cells_Intensity_UpperQuartileIntensity_ER,0,0,0,0,0
Cells_Intensity_UpperQuartileIntensity_Mito,0,0,0,0,0
Cells_Intensity_UpperQuartileIntensity_RNA,0,0,0,0,0
Cells_Location_CenterMassIntensity_X_AGP,0,0,0,0,0
Cells_Location_CenterMassIntensity_X_DNA,0,0,0,0,0
Cells_Location_CenterMassIntensity_X_ER,0,0,0,0,0
Cells_Location_CenterMassIntensity_X_Mito,0,0,0,0,0
Cells_Location_CenterMassIntensity_X_RNA,0,0,0,0,0
Cells_Location_CenterMassIntensity_Y_AGP,0,0,0,0,0
Cells_Location_CenterMassIntensity_Y_DNA,0,0,0,0,0
Cells_Location_CenterMassIntensity_Y_ER,0,0,0,0,0
Cells_Location_CenterMassIntensity_Y_Mito,0,0,0,0,0
Cells_Location_CenterMassIntensity_Y_RNA,0,0,0,0,0
Cells_Location_Center_X,0,0,0,0,0
Cells_Location_Center_Y,0,0,0,0,0
Cells_Location_MaxIntensity_X_AGP,0,0,0,0,0
Cells_Location_MaxIntensity_X_DNA,0,0,0,0,0
Cells_Location_MaxIntensity_X_ER,0,0,0,0,0
Cells_Location_MaxIntensity_X_Mito,0,0,0,0,0
Cells_Location_MaxIntensity_X_RNA,0,0,0,0,0
Cells_Location_MaxIntensity_Y_AGP,0,0,0,0,0
Cells_Location_MaxIntensity_Y_DNA,0,0,0,0,0
Cells_Location_MaxIntensity_Y_ER,0,0,0,0,0
Cells_Location_MaxIntensity_Y_Mito,0,0,0,0,0
Cells_Location_MaxIntensity_Y_RNA,0,0,0,0,0
Cells_Neighbors_AngleBetweenNeighbors_10,0,1,0,0,0
Cells_Neighbors_AngleBetweenNeighbors_Adjacent,1,0,1,1,1
Cells_Neighbors_FirstClosestDistance_10,0,0,0,0,0
Cells_Neighbors_FirstClosestDistance_Adjacent,0,0,0,0,0
Cells_Neighbors_FirstClosestObjectNumber_10,0,0,0,0,0
Cells_Neighbors_FirstClosestObjectNumber_Adjacent,0,0,0,0,0
Cells_Neighbors_NumberOfNeighbors_10,0,0,0,0,0
Cells_Neighbors_NumberOfNeighbors_Adjacent,0,0,0,0,0
Cells_Neighbors_PercentTouching_10,1,1,1,1,1
Cells_Neighbors_PercentTouching_Adjacent,0,0,0,0,0
Cells_Neighbors_SecondClosestDistance_10,0,0,0,0,0
Cells_Neighbors_SecondClosestDistance_Adjacent,0,0,0,0,0
Cells_Neighbors_SecondClosestObjectNumber_10,0,0,0,0,0
Cells_Neighbors_SecondClosestObjectNumber_Adjacent,0,0,0,0,0
Cells_Number_Object_Number,0,0,0,0,0
Cells_Parent_Nuclei,0,0,0,0,0
Cells_RadialDistribution_FracAtD_AGP_1of4,0,0,0,0,0
Cells_RadialDistribution_FracAtD_AGP_2of4,0,0,0,0,0
Cells_RadialDistribution_FracAtD_AGP_3of4,1,1,1,1,1
Cells_RadialDistribution_FracAtD_AGP_4of4,0,0,0,0,0
Cells_RadialDistribution_FracAtD_DNA_1of4,0,0,0,0,0
Cells_RadialDistribution_FracAtD_DNA_2of4,0,0,0,0,0
Cells_RadialDistribution_FracAtD_DNA_3of4,1,1,1,1,1
Cells_RadialDistribution_FracAtD_DNA_4of4,1,1,1,1,1
Cells_RadialDistribution_FracAtD_ER_1of4,0,0,0,0,0
Cells_RadialDistribution_FracAtD_ER_2of4,0,0,0,0,0
Cells_RadialDistribution_FracAtD_ER_3of4,0,0,1,0,0
Cells_RadialDistribution_FracAtD_ER_4of4,0,0,0,0,0
Cells_RadialDistribution_FracAtD_Mito_1of4,0,0,0,0,0
Cells_RadialDistribution_FracAtD_Mito_2of4,0,0,0,0,0
Cells_RadialDistribution_FracAtD_Mito_3of4,0,0,1,0,1
Cells_RadialDistribution_FracAtD_Mito_4of4,1,1,1,0,1
Cells_RadialDistribution_FracAtD_RNA_1of4,0,0,0,0,0
Cells_RadialDistribution_FracAtD_RNA_2of4,0,0,0,0,0
Cells_RadialDistribution_FracAtD_RNA_3of4,0,1,0,0,1
Cells_RadialDistribution_FracAtD_RNA_4of4,0,0,0,0,0
Cells_RadialDistribution_MeanFrac_AGP_1of4,0,0,0,0,0
Cells_RadialDistribution_MeanFrac_AGP_2of4,0,0,0,0,1
Cells_RadialDistribution_MeanFrac_AGP_3of4,1,1,0,1,1
Cells_RadialDistribution_MeanFrac_AGP_4of4,0,0,0,0,0
Cells_RadialDistribution_MeanFrac_DNA_1of4,1,1,1,1,1
Cells_RadialDistribution_MeanFrac_DNA_2of4,0,0,0,0,0
Cells_RadialDistribution_MeanFrac_DNA_3of4,0,0,0,0,0
Cells_RadialDistribution_MeanFrac_DNA_4of4,0,0,0,0,0
Cells_RadialDistribution_MeanFrac_ER_1of4,1,0,1,0,0
Cells_RadialDistribution_MeanFrac_ER_2of4,0,0,0,0,0
Cells_RadialDistribution_MeanFrac_ER_3of4,1,1,1,1,1
Cells_RadialDistribution_MeanFrac_ER_4of4,0,0,0,0,0
Cells_RadialDistribution_MeanFrac_Mito_1of4,1,1,1,1,1
Cells_RadialDistribution_MeanFrac_Mito_2of4,0,0,0,0,0
Cells_RadialDistribution_MeanFrac_Mito_3of4,1,1,1,1,1
Cells_RadialDistribution_MeanFrac_Mito_4of4,0,0,0,0,0
Cells_RadialDistribution_MeanFrac_RNA_1of4,0,0,0,0,0
Cells_RadialDistribution_MeanFrac_RNA_2of4,0,0,0,0,0
Cells_RadialDistribution_MeanFrac_RNA_3of4,1,1,0,1,1
Cells_RadialDistribution_MeanFrac_RNA_4of4,0,0,0,0,0
Cells_RadialDistribution_RadialCV_AGP_1of4,1,1,1,1,1
Cells_RadialDistribution_RadialCV_AGP_2of4,1,1,1,1,1
Cells_RadialDistribution_RadialCV_AGP_3of4,1,1,1,1,1
Cells_RadialDistribution_RadialCV_AGP_4of4,1,1,1,1,1
Cells_RadialDistribution_RadialCV_DNA_1of4,1,1,1,1,1
Cells_RadialDistribution_RadialCV_DNA_2of4,1,1,1,1,1
Cells_RadialDistribution_RadialCV_DNA_3of4,1,1,1,1,1
Cells_RadialDistribution_RadialCV_DNA_4of4,1,1,1,1,1
Cells_RadialDistribution_RadialCV_ER_1of4,1,1,1,1,1
Cells_RadialDistribution_RadialCV_ER_2of4,1,1,1,1,1
Cells_RadialDistribution_RadialCV_ER_3of4,1,1,1,1,1
Cells_RadialDistribution_RadialCV_ER_4of4,0,0,0,0,0
Cells_RadialDistribution_RadialCV_Mito_1of4,1,1,1,1,1
Cells_RadialDistribution_RadialCV_Mito_2of4,1,1,1,1,1
Cells_RadialDistribution_RadialCV_Mito_3of4,1,1,1,1,1
Cells_RadialDistribution_RadialCV_Mito_4of4,1,1,1,1,1
Cells_RadialDistribution_RadialCV_RNA_1of4,1,1,1,1,1
Cells_RadialDistribution_RadialCV_RNA_2of4,1,1,1,1,1
Cells_RadialDistribution_RadialCV_RNA_3of4,1,1,1,1,1
Cells_RadialDistribution_RadialCV_RNA_4of4,0,0,0,0,0
Cells_Texture_AngularSecondMoment_AGP_10_0,0,0,0,0,0
Cells_Texture_AngularSecondMoment_AGP_20_0,0,0,0,0,0
Cells_Texture_AngularSecondMoment_AGP_5_0,0,0,0,0,0
Cells_Texture_AngularSecondMoment_DNA_10_0,0,0,0,0,0
Cells_Texture_AngularSecondMoment_DNA_20_0,1,1,1,1,1
Cells_Texture_AngularSecondMoment_DNA_5_0,0,0,0,0,0
Cells_Texture_AngularSecondMoment_ER_10_0,0,0,0,0,0
Cells_Texture_AngularSecondMoment_ER_20_0,0,0,0,0,0
Cells_Texture_AngularSecondMoment_ER_5_0,0,0,0,0,0
Cells_Texture_AngularSecondMoment_Mito_10_0,0,0,0,0,0
Cells_Texture_AngularSecondMoment_Mito_20_0,1,1,0,1,1
Cells_Texture_AngularSecondMoment_Mito_5_0,0,0,0,0,0
Cells_Texture_AngularSecondMoment_RNA_10_0,0,0,0,0,0
Cells_Texture_AngularSecondMoment_RNA_20_0,0,0,0,0,0
Cells_Texture_AngularSecondMoment_RNA_5_0,0,0,0,0,0
Cells_Texture_Contrast_AGP_10_0,0,0,0,0,0
Cells_Texture_Contrast_AGP_20_0,0,0,0,0,0
Cells_Texture_Contrast_AGP_5_0,0,0,0,0,0
Cells_Texture_Contrast_DNA_10_0,0,0,0,0,0
Cells_Texture_Contrast_DNA_20_0,0,0,0,0,0
Cells_Texture_Contrast_DNA_5_0,0,0,0,0,0
Cells_Texture_Contrast_ER_10_0,0,0,0,0,0
Cells_Texture_Contrast_ER_20_0,0,0,0,0,0
Cells_Texture_Contrast_ER_5_0,0,0,0,0,0
Cells_Texture_Contrast_Mito_10_0,0,0,0,0,0
Cells_Texture_Contrast_Mito_20_0,0,0,0,0,0
Cells_Texture_Contrast_Mito_5_0,0,0,0,0,0
Cells_Texture_Contrast_RNA_10_0,0,0,0,0,0
Cells_Texture_Contrast_RNA_20_0,0,0,0,0,0
Cells_Texture_Contrast_RNA_5_0,0,0,0,0,0
Cells_Texture_Correlation_AGP_10_0,0,0,0,0,0
Cells_Texture_Correlation_AGP_20_0,1,1,0,1,0
Cells_Texture_Correlation_AGP_5_0,0,0,0,0,0
Cells_Texture_Correlation_DNA_10_0,0,0,0,0,0
Cells_Texture_Correlation_DNA_20_0,1,1,1,1,0
Cells_Texture_Correlation_DNA_5_0,0,0,0,0,0
Cells_Texture_Correlation_ER_10_0,0,0,0,0,0
Cells_Texture_Correlation_ER_20_0,0,0,0,0,0
Cells_Texture_Correlation_ER_5_0,0,0,0,0,0
Cells_Texture_Correlation_Mito_10_0,0,0,0,0,0
Cells_Texture_Correlation_Mito_20_0,0,0,0,0,0
Cells_Texture_Correlation_Mito_5_0,0,0,0,0,0
Cells_Texture_Correlation_RNA_10_0,0,0,0,0,0
Cells_Texture_Correlation_RNA_20_0,0,0,0,0,0
Cells_Texture_Correlation_RNA_5_0,0,0,0,0,0
Cells_Texture_DifferenceEntropy_AGP_10_0,0,0,0,0,0
Cells_Texture_DifferenceEntropy_AGP_20_0,0,0,0,0,0
Cells_Texture_DifferenceEntropy_AGP_5_0,0,0,0,0,0
Cells_Texture_DifferenceEntropy_DNA_10_0,0,0,0,0,0
Cells_Texture_DifferenceEntropy_DNA_20_0,0,0,0,0,0
Cells_Texture_DifferenceEntropy_DNA_5_0,0,0,0,0,0
Cells_Texture_DifferenceEntropy_ER_10_0,0,0,0,0,0
Cells_Texture_DifferenceEntropy_ER_20_0,0,0,0,0,0
Cells_Texture_DifferenceEntropy_ER_5_0,0,0,0,0,0
Cells_Texture_DifferenceEntropy_Mito_10_0,0,0,0,0,0
Cells_Texture_DifferenceEntropy_Mito_20_0,0,0,0,0,0
Cells_Texture_DifferenceEntropy_Mito_5_0,0,0,0,0,0
Cells_Texture_DifferenceEntropy_RNA_10_0,0,0,0,0,0
Cells_Texture_DifferenceEntropy_RNA_20_0,0,0,0,0,0
Cells_Texture_DifferenceEntropy_RNA_5_0,0,0,0,0,0
Cells_Texture_DifferenceVariance_AGP_10_0,0,0,0,0,0
