,SQ00015145,SQ00015143,SQ00015201,SQ00015142,SQ00015144
Image_Metadata_Well,1,1,1,1,1
TableNumber,0,0,0,0,0
ImageNumber,0,0,0,0,0
ObjectNumber,0,0,0,0,0
Cells_AreaShape_Area,0,0,0,0,0
Cells_AreaShape_Center_X,0,0,0,0,0
Cells_AreaShape_Center_Y,0,0,0,0,0
Cells_AreaShape_Compactness,0,0,0,0,0
Cells_AreaShape_Eccentricity,1,1,1,1,1
Cells_AreaShape_EulerNumber,0,0,0,0,0
Cells_AreaShape_Extent,1,1,1,1,1
Cells_AreaShape_FormFactor,1,1,1,1,1
Cells_AreaShape_MajorAxisLength,0,0,0,0,0
Cells_AreaShape_MaxFeretDiameter,0,0,0,0,0
Cells_AreaShape_MaximumRadius,0,0,0,0,0
Cells_AreaShape_MeanRadius,0,0,0,0,0
Cells_AreaShape_MedianRadius,0,0,0,0,0
Cells_AreaShape_MinFeretDiameter,0,0,0,0,0
Cells_AreaShape_MinorAxisLength,0,0,0,0,0
Cells_AreaShape_Orientation,0,0,1,0,0
Cells_AreaShape_Perimeter,0,0,0,0,0
Cells_AreaShape_Solidity,1,1,1,1,1
Cells_AreaShape_Zernike_0_0,1,1,1,1,1
Cells_AreaShape_Zernike_1_1,1,1,1,1,1
Cells_AreaShape_Zernike_2_0,1,1,1,1,1
Cells_AreaShape_Zernike_2_2,0,0,0,0,0
Cells_AreaShape_Zernike_3_1,1,1,1,1,1
Cells_AreaShape_Zernike_3_3,0,0,0,0,0
Cells_AreaShape_Zernike_4_0,1,1,1,1,1
Cells_AreaShape_Zernike_4_2,1,1,1,1,1
Cells_AreaShape_Zernike_4_4,0,0,0,0,0
Cells_AreaShape_Zernike_5_1,1,1,1,1,1
Cells_AreaShape_Zernike_5_3,1,1,1,1,1
Cells_AreaShape_Zernike_5_5,0,0,0,0,0
Cells_AreaShape_Zernike_6_0,1,1,1,1,1
Cells_AreaShape_Zernike_6_2,1,1,1,1,1
Cells_AreaShape_Zernike_6_4,0,0,0,0,0
Cells_AreaShape_Zernike_6_6,0,0,0,0,0
Cells_AreaShape_Zernike_7_1,1,1,1,1,1
Cells_AreaShape_Zernike_7_3,1,1,1,1,1
Cells_AreaShape_Zernike_7_5,0,0,0,0,0
Cells_AreaShape_Zernike_7_7,0,0,0,0,0
Cells_AreaShape_Zernike_8_0,1,1,1,1,1
Cells_AreaShape_Zernike_8_2,1,1,1,1,1
Cells_AreaShape_Zernike_8_4,1,1,1,1,1
Cells_AreaShape_Zernike_8_6,0,0,0,0,0
Cells_AreaShape_Zernike_8_8,0,0,0,0,0
Cells_AreaShape_Zernike_9_1,1,1,1,1,1
Cells_AreaShape_Zernike_9_3,1,1,1,1,1
Cells_AreaShape_Zernike_9_5,1,1,1,1,1
Cells_AreaShape_Zernike_9_7,0,0,0,0,0
Cells_AreaShape_Zernike_9_9,0,0,0,0,0
Cells_Children_Cytoplasm_Count,0,0,0,0,0
